Bitte eine Frage auswählen!,
Um die Syntax darzustellen,6
"Zu verdeutlichen, wie es aussieht",5
", ← Müssen in Anführungszeichen",4
Es müssen mindestens 6 Antworten,3
eingetragen sein,2
Reihenfolge ist egal,1
,
Nennen Sie einen Physiker! [Beispiel],
Einstein,47
Newton,21
Feynman,11
Stephen Hawking,8
Planck,7
Heisenberg,7
,
"Nennen Sie etwas, das Sie mit Münster verbinden!",
Fahrräder/Leezen,63
Studieren/Studium/Studenten,14
Kneipen,8
Regen,7
Aasee,5
Prof. Münster,3
,
Nennen Sie eine Serie!,
Game of Thrones,38
The Big Bang Theory,30
How I Met Your Mother,10
Breaking Bad,10
Sherlock,6
Balmer-Serie,5
,
Nennen Sie Ihren Lieblingsprofessor!,
Prof. Werner,27
Prof. Kappes,25
Dr. Kovařík,14
Prof. Rohlfing,13
Prof. Krüger,11
Prof. Deninger,10
,
Nennen Sie eine Anwendung von Computern!,
Videospiele,35
Rechnen,34
Texte schreiben/Textverarbeitungsprogramme,10
Experimente/Simulationen,9
Programmieren,6
Internet,6
,
Nennen Sie eine Konstante!,
kB (Boltzmann-Konstante),28
Planck’sches Wirkungsquantum,24
c (Lichtgeschwindigkeit im Vakuum),23
π,11
G (Gravitationskonstante),10
e (Eulersche Zahl),5
,
Nennen Sie ein Buch!,
Harry Potter,33
Nolting,26
Die Bibel,21
Der Herr der Ringe,9
Demtröder,6
Per Anhalter durch die Galaxis,6
,
Nennen Sie eine Besonderheit von Physikern!,
Intelligenz,26
„komisch“/komischer Humor,24
die Frisuren/Aussehen/Kleidung,19
Verrücktheit,15
haben Physik studiert,11
Frustrationstoleranz,6
,
"Nennen Sie etwas, das man auswendig weiß!",
pq-Formel,32
E = mc²,17
F = ma,15
π,14
Allgemeine Gasgleichung (ideales Gas),13
Das Alphabet,10
,
Nennen Sie einen Mythos!,
Nessie das Seeungeheuer,28
Herkules,19
Bielefeld,17
Gott/Götter,14
Die Erde ist eine Scheibe (flach),11
Big Foot,11
,
Nennen Sie Ihr Lieblingsessen in der Mensa!,
Gyros,44
Nichts,21
Mensa-Burger,12
Salat,9
Wrap,8
Nudeln,8
,
"Nennen Sie etwas, das Sie mit der Zahl 17 verbinden!",
Primzahl,51
18,17
ein Alter,10
vollwertiger Zauberer,9
dieses Jahr (2017),8
Trick 17,5
,
"Nennen Sie etwas, das man ständig vergisst!",
Formeln,37
Schlüssel,24
Konstanten,13
Additionstheoreme,11
Aufwachen,7
QISPOS-Anmeldung,7
,
"Nennen Sie etwas, womit man kein Geld verdient!",
Ehrenamt,26
Studieren,24
Kunst,17
Philosophie,15
Schlafen,10
soziale Arbeit,8
,
"Nennen Sie etwas, das man beim Lernen isst!",
Schokolade,53
Obst,18
Kekse,11
Studentenfutter,9
Pizza,5
Chips,4
,
Nennen Sie einen Tanz!,
Walzer,44
Discofox,17
Tango,15
Samba,11
Salsa,7
Cha Cha Cha,6
,
Nennen Sie ein Adjektiv für theoretische Physik!,
theoretisch,57
langweilig,15
interessant,8
mathematisch,8
kompliziert,7
trocken,6
,
Nennen Sie ein Adjektiv für Experimentalphysik!,
experimentell,37
praktisch,19
spannend,17
langweilig,14
interessant,7
angewandt,6
,
BACKUP-DATEN,
-,0
-,0
-,0
-,0
-,0
-,0
,
"Nennen Sie etwas, das man beim Lernen isst",
Schokolade,53
Obst,18
Kekse,11
Studentenfutter,9
Pizza,5
Chips,4
,
Nennen Sie Lieblingsessen in der Mensa,
Gyros,44
Nichts,21
