Bitte eine Frage auswählen!,
Um die syntax darzustellen,6
"Zu verdeutlichen, wie es aussieht",5
", (Kommas) müssen in Anführungszeichen",4
Es müssen mindestens 6 Antworten,3
eingetragen sein; Reihenfolge ist egal!,2
Leichte Erstellung über eine Calc- oder Excel-Tabelle und Export als CSV,1
,
Nennen Sie eine Kneipe in Münster,
Destille,20
Cavete,16
Blaues Haus,10
Cuba Nova,4
Visages,4
Himmel und Hölle,3
,
Nennen Sie ein Experiment,
Fallexperimente,18
Millikan,15
Michelson-Morley,13
Doppelspalt,12
Oszillatoren,8
Schrödingers Katze,5
,
Nennen Sie ein Hilfsmittel für Physiker,
Buch,14
Taschenrechner,12
Bleistift,11
Internet,9
Computer,9
Drogen,7
,
"Nennen Sie etwas, das strahlt",
Japan/Fukushima,24
Sonne,22
Isotope,18
Lampe,4
Augen,3
Uran,0
,
"Nennen Sie etwas, das nicht bewiesen ist",
Gott,26
Higgs-Boson,17
Dunkle Energie/Materie,10
Aliens,9
Graviton,0
Bielefeld,0
,
Nennen Sie ihr Lieblingsanion,
Chlorid,45
Hydroxid,26
Natrium,10
Oxid,0
Sulfat,0
Kartoffel,0
,
Nennen Sie einen Unterschied zwischen Physikern und Chemikern,
Mathematik,20
Intelligenz,20
Wissen,11
Ausrüstung,9
Lebensdauer,5
Haarlänge,4
,
Nennen Sie eine Theorie,
Relativitätstheorie,53
Quantentheorie,10
Stringtheorie,6
Big Bang Theory,5
Newton-Bewegung,2
Entwicklungstheorie,2
,
Nennen Sie etwas Radikales,
"Links-/Rechtsextremismus",37
Oskar Lafontaine,15
Mensafrauen,8
Salafisten,7
Sauerstoffion,6
Linksextremismus,0
,
Nennen Sie etwas Irreversibles,
Tod,23
Entropie,19
Verformung,10
Zeit,9
gekochtes Ei,0
Amputation,0
,
Nennen Sie ihr Lieblingsgift,
Arsen,47
Ethanol,20
Botox,14
Rattengift,0
Zyankali,0
Frauen,0
,
"Nennen Sie etwas, das offen ist",
Thermodynamisches System,19
Behältnis,17
eine Menge,14
Türen,12
Hosen,5
Potentialtopf,3
,
Nennen Sie eine Ableitung,
d/dt zeitliche ableitung,19
e^x,11
d/dx örtliche ableitung,9
Blitzableiter,3
dU/dT,2
sin(x),1
,
"Nennen Sie etwas, das gleitet",
Schlitten,15
Gleitgel,14
Luftkissenwagen/Hovercraft,10
Schlittschuh,7
Magnetschwebebahn,6
Segelflugzeug,5
,
Nennen Sie ihren Lieblingswinkel,
rechter Winkel,17
42°,15
45°,8
180°,8
phi,6
0°,5
,
Nennen Sie ihren Lieblingszustand,
blau,29
flüssig,14
Plasma,12
stoned,12
schlafend,11
Grundzustand,9
,
"Nennen Sie etwas, wo Sie denken: „Ist das Kunst oder kann das weg?“",
"Square Depression („Pyramide“, Loch vor der KP)",58
Fettecke,10
Chemie,10
Moderne Kunst,6
C1,6
Physik,3
,
Nennen Sie eine Energieform,
Kinetische Energie,36
Potentielle Energie,22
Wärme,18
Schokolade,10
Kernenergie,10
Masse,10
,
Nennen Sie ihren Lieblingsniederschlag,
Regen,39
Schnee,39
Hagel,20
AgCl,14
Sonne,7
Sauerer Regen,6
,
Nennen Sie etwas mit hohem Niveau,
Physik,30
Klasen,11
angeregter Zustand,11
Ich,7
Sheldon Cooper,6
Hartz IV – TV,5
